date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:08	13843/13843	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202024%2005:55:07%20GMT	https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/m	C:/My%20Web%20Sites/m/cpenel-webmaii-glowing-octo-barnacle.vercel.app/m.html	(from )
22:55:08	207/207	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2005:55:08%20GMT	https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/robots.txt		(from )
22:55:09	6358/6358	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css	(from https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/m)
22:55:10	144905/144905	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2003:38:38%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css	(from https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/m)
22:55:10	1026/1026	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1533566265/unprotected/cpanel/images/notice-error.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1533566265/unprotected/cpanel/images/notice-error.png	(from https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/m)
22:55:11	247/247	---M--	404	error ('Not%20Found')	application/xml	date:Tue,%2029%20Oct%202024%2005:55:10%20GMT	https://fra1.digitaloceanspaces.com/round-cube/jquery.min.js	C:/My%20Web%20Sites/m/fra1.digitaloceanspaces.com/round-cube/jquery.min.4.delayed	(from https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/m)
22:55:11	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/m/code.jquery.com/jquery-3.5.1.min.js	(from https://cpenel-webmaii-glowing-octo-barnacle.vercel.app/m)
22:55:12	118259/118259	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Bold-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Bold-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:12	121112/121112	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-BoldItalic-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-BoldItalic-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:12	119184/119184	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-ExtraBold-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-ExtraBold-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:14	121259/121259	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-ExtraBoldItalic-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-ExtraBoldItalic-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:14	122495/122495	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Italic-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Italic-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:14	122968/122968	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-LightItalic-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-LightItalic-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:14	117270/117270	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Light-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Light-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:14	119399/119399	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Regular-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Regular-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:15	118464/118464	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Semibold-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-Semibold-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:15	122491/122491	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Mar%202022%2003:16:35%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-SemiboldItalic-webfont.svg	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/OpenSans-SemiboldItalic-webfont.svg	(from https://webmail.gigared.com/cPanel_magic_revision_1386192030/unprotected/cpanel/fonts/open_sans/open_sans.min.css)
22:55:15	1026/1026	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/notice-error.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/notice-error.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:16	976/976	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/notice-info.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/notice-info.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:16	962/962	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/notice-success.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/notice-success.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:16	1060/1060	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/warning.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/warning.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:16	205/205	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/or-separator-line.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/or-separator-line.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:17	320/320	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-username.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-username.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:17	450/450	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-password.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-password.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:17	1002/1002	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-envelope.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-envelope.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:17	381/381	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-token.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/icon-token.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
22:55:18	293/293	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jan%202021%2022:13:56%20GMT	https://webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/login-error-close.png	C:/My%20Web%20Sites/m/webmail.gigared.com/cPanel_magic_revision_1610662436/unprotected/cpanel/images/login-error-close.png	(from https://webmail.gigared.com/cPanel_magic_revision_1591239677/unprotected/cpanel/style_v2_optimized.css)
